head_initial,head_initial_greek,word_form_head,word_form_dependent,word_form_head_greek,word_form_dependent_greek,pos_head,pos_dependent,pos_head_greek,pos_dependent_greek,rel_head,rel_head_greek,givenness_status,number_dependents,number_dependents_greek,mood_verb,mood_verb_greek,clause_type,clause_type_greek
True,True,witands,mitonins,ἰδὼν,ἐνθυμήσεις,verb,common noun,verb,common noun,open predication,open predication,new,2,2.0,participle,participle,open predication non finita,open predication non finita
False,False,habaiþ,waldufni,ἔχει,ἐξουσίαν,verb,common noun,verb,common noun,subordinata completiva,subordinata completiva,info_unannotatable,1,1.0,indicative,indicative,subordinata completiva finita,subordinata completiva finita
True,True,afleitan,frawaurhtins,ἀφιέναι,ἁμαρτίας,verb,common noun,verb,common noun,narg,narg,non_spec,0,0.0,infinitive,infinitive,narg non finita,narg non finita
True,True,nim,ligr,ἆρόν,κλίνην,verb,common noun,verb,common noun,principale coordinata,principale coordinata,acc_sit,2,2.0,imperative,imperative,principale coordinata finita,principale coordinata finita
True,True,mikilidedun,guþ,ἐδόξασαν,θεὸν,verb,common noun,verb,common noun,principale coordinata,principale coordinata,acc_gen,1,2.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,gibandan,waldufni,δόντα,ἐξουσίαν,verb,common noun,verb,common noun,relativa,relativa,kind,1,1.0,participle,participle,relativa non finita,relativa non finita
True,True,gasaƕ,mannan,εἶδεν,ἄνθρωπον,verb,common noun,verb,common noun,principale coordinata,principale coordinata,new,1,1.0,indicative,indicative,principale coordinata finita,principale coordinata finita
False,False,habandans,unhaili,ἔχοντες,κακῶς,verb,common noun,verb,adverb,relativa soggettiva coordinata,relativa soggettiva coordinata,,0,0.0,participle,participle,relativa soggettiva coordinata non finita,relativa soggettiva coordinata non finita
True,True,lagjiþ,fanan,ἐπιβάλλει,ἐπίβλημα,verb,common noun,verb,common noun,principale,principale,non_spec,1,1.0,indicative,indicative,principale finita,principale finita
True,True,afnimiþ,fullon,αἴρει,πλήρωμα,verb,common noun,verb,common noun,subordinata avverbiale coordinata,principale coordinata,non_spec_old,0,2.0,indicative,indicative,subordinata avverbiale coordinata finita,principale coordinata finita
True,True,giutand,wein,βάλλουσιν,οἶνον,verb,common noun,verb,common noun,principale,principale,non_spec,1,1.0,indicative,indicative,principale finita,principale finita
True,True,giutand,wein,βάλλουσιν,οἶνον,verb,common noun,verb,common noun,principale coordinata,principale coordinata,kind,1,1.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,False,rodida,þata,λαλοῦντος,Ταῦτα,verb,demonstrative pronoun,verb,demonstrative pronoun,,subordinata avverbiale,old,0,0.0,indicative,participle,,subordinata avverbiale non finita
True,True,inwait,ina,προσεκύνει,αὐτῷ,verb,personal pronoun,verb,personal pronoun,principale,principale,old,0,0.0,indicative,indicative,principale finita,principale finita
True,True,atlagei,handu,ἐπίθες,χεῖρά,verb,common noun,verb,common noun,principale coordinata,principale coordinata,new,1,2.0,imperative,imperative,principale coordinata finita,principale coordinata finita
True,True,gasaiƕands,þo,ἰδὼν,αὐτὴν,verb,demonstrative pronoun,verb,personal pronoun,open predication in coordinazione,open predication in coordinazione,old,0,0.0,participle,participle,open predication in coordinazione non finita,open predication in coordinazione non finita
True,,þrafstei,þuk,θάρσει,,verb,personal pronoun,verb,,principale,principale,,0,,imperative,imperative,principale finita,principale finita
True,True,ganasida,þuk,σέσωκέν,σε,verb,personal pronoun,verb,personal pronoun,principale,principale,old,0,0.0,indicative,indicative,principale finita,principale finita
True,True,bihlohun,ina,κατεγέλων,αὐτοῦ,verb,personal pronoun,verb,personal pronoun,principale,principale,old,0,0.0,indicative,indicative,principale finita,principale finita
True,True,habaida,handu,ἐκράτησεν,χειρὸς,verb,common noun,verb,common noun,principale coordinata,principale coordinata,new,1,2.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,armai,uggkis,ἐλέησον,ἡμᾶς,verb,personal pronoun,verb,personal pronoun,principale,principale,old,0,0.0,imperative,imperative,principale finita,principale finita
False,False,taujan,þata,ποιῆσαι,τοῦτο,verb,demonstrative pronoun,verb,demonstrative pronoun,open predication,open predication,old,0,0.0,infinitive,infinitive,open predication non finita,open predication non finita
True,True,inagida,ins,ἐνεβριμήθη,αὐτοῖς,verb,personal pronoun,verb,personal pronoun,principale coordinata,principale,old,0,0.0,indicative,indicative,principale coordinata finita,principale finita
True,True,usmeridedun,ina,διεφήμισαν,αὐτὸν,verb,personal pronoun,verb,personal pronoun,principale,principale,old,0,0.0,indicative,indicative,principale finita,principale finita
True,True,atberun,mannan,προσήνεγκαν,ἄνθρωπον,verb,common noun,verb,common noun,principale,principale,new,2,2.0,indicative,indicative,principale finita,principale finita
True,True,usdreibiþ,unhulþons,ἐκβάλλει,δαιμόνια,verb,common noun,verb,common noun,principale,principale,non_spec,0,1.0,indicative,indicative,principale finita,principale finita
True,True,merjands,aiwaggeljon,κηρύσσων,εὐαγγέλιον,verb,common noun,verb,common noun,open predication in coordinazione,open predication in coordinazione,acc_gen,1,2.0,participle,participle,open predication in coordinazione non finita,open predication in coordinazione non finita
True,True,gasaiƕands,manageins,ἰδὼν,ὄχλους,verb,common noun,verb,common noun,open predication,open predication,non_spec_inf,1,1.0,participle,participle,open predication non finita,open predication non finita
True,True,habandona,hairdeis,ἔχοντα,ποιμένα,verb,common noun,verb,common noun,relativa,relativa,non_spec,0,0.0,participle,participle,relativa non finita,relativa non finita
True,True,bidjiþ,fraujan,δεήθητε,κυρίου,verb,common noun,verb,common noun,principale,principale,new,1,2.0,imperative,imperative,principale finita,principale finita
