head_initial,head_initial_greek,word_form_head,word_form_dependent,word_form_head_greek,word_form_dependent_greek,pos_head,pos_dependent,pos_head_greek,pos_dependent_greek,rel_head,rel_head_greek,givenness_status,number_dependents,number_dependents_greek,mood_verb,mood_verb_greek,clause_type,clause_type_greek
False,False,ara,ayd,ποίει,τοῦτο,verb,demonstrative pronoun,verb,demonstrative pronoun,principale coordinata,principale coordinata,old,1,0.0,imperative,imperative,principale coordinata finita,principale coordinata finita
False,True,ardaracʻowcʻanel,anjn,δικαιῶσαι,ἑαυτὸν,verb,common noun,verb,personal reflexive pronoun,open predication,open predication,old,1,0.0,infinitive,infinitive,open predication non finita,open predication non finita
False,,et,Patasxani,,,verb,common noun,,,principale coordinata,,new,0,,indicative,,principale coordinata finita,
True,True,merkacʻin,na,περιέπεσεν,αὐτὸν,verb,demonstrative pronoun,verb,personal pronoun,relativa coordinata,principale coordinata,old,1,0.0,indicative,indicative,relativa coordinata finita,principale coordinata finita
False,False,edin,vērs,ἐπιθέντες,πληγὰς,verb,common noun,verb,common noun,relativa coordinata,open predication in coordinazione,new,0,0.0,indicative,participle,relativa coordinata finita,open predication in coordinazione non finita
True,True,teseal,na,ἰδὼν,αὐτὸν,verb,demonstrative pronoun,verb,personal pronoun,open predication,open predication,old,1,0.0,participle,participle,open predication non finita,open predication non finita
False,,arar,záncʻ,,,verb,common noun,,,principale coordinata,,info_unannotatable,0,,indicative,,principale coordinata finita,
False,,arar,záncʻ,,,verb,common noun,,,principale coordinata,,info_unannotatable,0,,indicative,,principale coordinata finita,
True,,teseal,na,,,verb,demonstrative pronoun,,,open predication,,old,1,,participle,,open predication non finita,
True,,pateácʻ,vērs,,,verb,common noun,,,principale coordinata,,old,2,,indicative,,principale coordinata finita,
True,,ác,na,,,verb,demonstrative pronoun,,,principale coordinata,,old,1,,indicative,,principale coordinata finita,
True,,darmaneacʻ,na,,,verb,demonstrative pronoun,,,principale coordinata,,old,1,,indicative,,principale coordinata finita,
True,False,et,darhekans,ἔδωκεν,δηνάρια,verb,common noun,verb,common noun,principale,principale coordinata,new,1,1.0,indicative,indicative,principale finita,principale coordinata finita
False,,tar,darmán,,προσδαπανήσῃς,verb,common noun,,verb,principale coordinata,,info_unannotatable,0,2.0,imperative,,principale coordinata finita,
False,,caxescʻes,or,,ὅ τι,verb,relative pronoun,,relative pronoun,relativa oggettiva,,,2,0.0,subjunctive,,relativa oggettiva finita,
True,True,arár,ołormowtʻiwn,ποιήσας,ἔλεος,verb,common noun,verb,common noun,relativa soggettiva,relativa soggettiva,acc_inf,2,1.0,indicative,participle,relativa soggettiva finita,relativa soggettiva non finita
True,True,ənkaláw,na,ὑπεδέξατο,αὐτόν,verb,demonstrative pronoun,verb,personal pronoun,principale,principale,old,1,0.0,indicative,indicative,principale finita,principale finita
True,True,lsēr,bans,ἤκουεν,λόγον,verb,common noun,verb,common noun,relativa coordinata,relativa,new,2,2.0,indicative,indicative,relativa coordinata finita,relativa finita
True,False,etʻoł,is,κατέλιπεν,με,verb,personal pronoun,verb,personal pronoun,,subordinata completiva,old,1,0.0,indicative,indicative,,subordinata completiva finita
False,False,et,Patasxani,εἶπεν,ἀποκριθεὶς,verb,common noun,verb,verb,principale coordinata,principale,new,0,0.0,indicative,indicative,principale coordinata finita,principale finita
False,False,əntreacʻ,masn,ἐξελέξατο,μερίδα,verb,common noun,verb,common noun,principale,principale,old,2,3.0,indicative,indicative,principale finita,principale finita
False,False,towr,hacʻ,δίδου,ἄρτον,verb,common noun,verb,common noun,principale,principale,non_spec,3,3.0,imperative,imperative,principale finita,principale finita
True,True,tʻół,mełs,ἄφες,ἁμαρτίας,verb,common noun,verb,common noun,principale,principale,new,2,2.0,imperative,imperative,principale finita,principale finita
True,True,tanir,mez,εἰσενέγκῃς,ἡμᾶς,verb,personal pronoun,verb,personal pronoun,principale,principale,old,1,0.0,imperative,subjunctive,principale finita,principale finita
True,True,tówr,nkanaks,χρῆσόν,ἄρτους,verb,common noun,verb,common noun,principale,principale,non_spec,1,1.0,imperative,imperative,principale finita,principale finita
False,True,ownim,inčʻ,ἔχω,ὃ,verb,indefinite pronoun,verb,relative pronoun,principale coordinata,subordinata avverbiale coordinata,non_spec,1,0.0,indicative,indicative,principale coordinata finita,subordinata avverbiale coordinata finita
True,,taycʻē,patasxani,,ἀποκριθεὶς,verb,common noun,,verb,principale coordinata,,non_spec,0,0.0,subjunctive,,principale coordinata finita,
True,False,ar̄ner,is,πάρεχε,μοι,verb,personal pronoun,verb,personal pronoun,principale,principale,old,1,0.0,imperative,imperative,principale finita,principale finita
