head_initial,head_initial_greek,word_form_head,word_form_dependent,word_form_head_greek,word_form_dependent_greek,pos_head,pos_dependent,pos_head_greek,pos_dependent_greek,rel_head,rel_head_greek,givenness_status,number_dependents,number_dependents_greek,mood_verb,mood_verb_greek,clause_type,clause_type_greek
True,True,обрѣте,ѩ,εὗρεν,αὐτοὺς,verb,personal pronoun,verb,personal pronoun,principale,principale,old,0,0.0,indicative,indicative,principale finita,principale finita
True,True,оставль,ѩ,ἀφεὶς,αὐτοὺς,verb,personal pronoun,verb,personal pronoun,open predication,open predication,old,0,0.0,participle,participle,open predication non finita,open predication non finita
False,False,рекъ,слово,εἰπὼν,λόγον,verb,common noun,verb,common noun,open predication,open predication,old,1,2.0,participle,participle,open predication non finita,open predication non finita
True,True,прѣдаѩи,мѧ,παραδιδούς,με,verb,personal pronoun,verb,personal pronoun,relativa soggettiva,relativa soggettiva,old,0,0.0,participle,participle,relativa soggettiva non finita,relativa soggettiva non finita
True,True,прѣдаѩи,и,παραδιδοὺς,αὐτὸν,verb,personal pronoun,verb,personal pronoun,relativa soggettiva,relativa soggettiva,old,0,0.0,participle,participle,relativa soggettiva non finita,relativa soggettiva non finita
True,True,дастъ,знамение,ἔδωκεν,σημεῖον,verb,common noun,verb,common noun,principale,principale,new,0,0.0,indicative,indicative,principale finita,principale finita
False,False,лобьжѫ,егоже,φιλήσω,ὃν,verb,relative pronoun,verb,relative pronoun,relativa,relativa,,1,0.0,indicative,subjunctive,relativa finita,relativa finita
True,True,имѣте,и,κρατήσατε,αὐτόν,verb,personal pronoun,verb,personal pronoun,principale,principale,old,0,0.0,imperative,imperative,principale finita,principale finita
True,True,облобꙑза,и,κατεφίλησεν,αὐτόν,verb,personal pronoun,verb,personal pronoun,principale,principale,old,0,0.0,indicative,indicative,principale finita,principale finita
True,True,възложишѧ,рѫцѣ,ἐπέβαλον,χεῖρας,verb,common noun,verb,common noun,principale coordinata,principale coordinata,acc_inf,0,1.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,ѩсѧ,и,ἐκράτησαν,αὐτόν,verb,personal pronoun,verb,personal pronoun,principale coordinata,principale coordinata,old,0,0.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,простеръ,рѫкѫ,ἐκτείνας,χεῖρα,verb,common noun,verb,common noun,open predication,open predication,acc_inf,0,1.0,participle,participle,open predication non finita,open predication non finita
